institute,branch,round,region,category,sub_category,closing_rank
DTU,Computer Science and Engineering,1,delhi,general,gender-neutral,9170
DTU,Computer Science and Engineering,1,delhi,general,girl,12243
DTU,Computer Science and Engineering,1,delhi,ews,gender-neutral,24019
DTU,Computer Science and Engineering,1,delhi,ews,girl,31101
DTU,Computer Science and Engineering,1,delhi,obc,gender-neutral,41031
DTU,Computer Science and Engineering,1,delhi,obc,girl,66166
DTU,Computer Science and Engineering,1,delhi,sc,gender-neutral,100225
DTU,Computer Science and Engineering,1,delhi,sc,girl,117723
DTU,Computer Science and Engineering,1,delhi,st,gender-neutral,261198
DTU,Computer Science and Engineering,1,delhi,st,girl,339743
DTU,Computer Science and Engineering,1,delhi,general,single-girl,19957
DTU,Computer Science and Engineering,1,delhi,general,pwd,103810
DTU,Computer Science and Engineering,1,delhi,ews,pwd,233585
DTU,Computer Science and Engineering,1,delhi,obc,pwd,356814
DTU,Computer Science and Engineering,1,delhi,sc,pwd,846056
DTU,Computer Science and Engineering,1,delhi,st,pwd,1287380
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,general,gender-neutral,10274
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,general,girl,12957
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,ews,gender-neutral,26893
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,ews,girl,34476
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,obc,gender-neutral,47321
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,obc,girl,49320
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,sc,gender-neutral,106615
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,sc,girl,125819
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,st,gender-neutral,281792
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,general,single-girl,20396
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,general,pwd,83757
DTU,Computer Science and Engineering (Data Science & Analytics),1,delhi,obc,pwd,333955
DTU,Information Technology,1,delhi,general,gender-neutral,13499
DTU,Information Technology,1,delhi,general,girl,17274
DTU,Information Technology,1,delhi,ews,gender-neutral,33309
DTU,Information Technology,1,delhi,ews,girl,40896
DTU,Information Technology,1,delhi,obc,gender-neutral,57324
DTU,Information Technology,1,delhi,obc,girl,81865
DTU,Information Technology,1,delhi,sc,gender-neutral,133457
DTU,Information Technology,1,delhi,sc,girl,136375
DTU,Information Technology,1,delhi,st,gender-neutral,351096
DTU,Information Technology,1,delhi,st,girl,461504
DTU,Information Technology,1,delhi,general,single-girl,24690
DTU,Information Technology,1,delhi,general,pwd,123208
DTU,Information Technology,1,delhi,ews,pwd,407519
DTU,Information Technology,1,delhi,obc,pwd,415661
DTU,Information Technology (Cyber Security),1,delhi,general,gender-neutral,17650
DTU,Information Technology (Cyber Security),1,delhi,general,girl,21218
DTU,Information Technology (Cyber Security),1,delhi,ews,gender-neutral,34018
DTU,Information Technology (Cyber Security),1,delhi,obc,gender-neutral,76895
DTU,Information Technology (Cyber Security),1,delhi,obc,girl,89361
DTU,Information Technology (Cyber Security),1,delhi,sc,gender-neutral,156722
DTU,Information Technology (Cyber Security),1,delhi,sc,girl,224767
DTU,Information Technology (Cyber Security),1,delhi,st,gender-neutral,473550
DTU,Information Technology (Cyber Security),1,delhi,st,girl,876713
DTU,Information Technology (Cyber Security),1,delhi,general,single-girl,25328
DTU,Information Technology (Cyber Security),1,delhi,general,pwd,169047
DTU,Information Technology (Cyber Security),1,delhi,obc,pwd,560768
DTU,Software Engineering,1,delhi,general,gender-neutral,16857
DTU,Software Engineering,1,delhi,general,girl,22206
DTU,Software Engineering,1,delhi,ews,gender-neutral,38763
