institute,year,round,round_label,region,branch,category,sub_category,closing_rank,source_file
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,General,Gender-Neutral,6105,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,General,Girl,7159,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,EWS,Gender-Neutral,21103,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,EWS,Girl,25153,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,OBC,Gender-Neutral,42250,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,OBC,Girl,49327,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,SC,Gender-Neutral,80206,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,SC,Girl,94614,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,ST,Gender-Neutral,304203,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,ST,Girl,326025,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,General,Single-Girl,10557,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,General,PwD,148004,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,EWS,PwD,218410,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,OBC,PwD,604683,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering,SC,PwD,814722,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),General,Gender-Neutral,7283,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),General,Girl,7382,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),EWS,Gender-Neutral,26474,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),OBC,Gender-Neutral,44425,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),OBC,Girl,49393,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),SC,Gender-Neutral,86297,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),SC,Girl,94818,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),ST,Gender-Neutral,304227,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),General,Single-Girl,12885,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),General,PwD,164213,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Computer Science and Engineering (Data Science & Analytics),OBC,PwD,661822,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,General,Gender-Neutral,9456,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,General,Girl,10500,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,EWS,Gender-Neutral,30402,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,EWS,Girl,31247,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,OBC,Gender-Neutral,55360,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,OBC,Girl,57393,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,SC,Gender-Neutral,111573,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,ST,Gender-Neutral,375308,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,ST,Girl,428469,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,General,Single-Girl,17889,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,General,PwD,236246,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,EWS,PwD,293227,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology,OBC,PwD,863726,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),General,Gender-Neutral,12480,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),General,Girl,13129,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),EWS,Gender-Neutral,35287,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),OBC,Gender-Neutral,63447,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),OBC,Girl,83687,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),SC,Gender-Neutral,132445,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),SC,Girl,163361,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),ST,Gender-Neutral,432099,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),General,Single-Girl,22510,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),General,PwD,226990,DTU_Round1_2025.pdf
DTU,2025,R1,Round1,Delhi,Information Technology (Cyber Security),OBC,PwD,968761,DTU_Round1_2025.pdf
